id,group,a_b_d1,a_a_d1,a_d_d1,v_b_d1,v_a_d1,v_d_d1,a_b_d2,a_a_d2,a_d_d2,v_b_d2,v_a_d2,v_d_d2,a_b_d3,a_a_d3,a_d_d3,v_b_d3,v_a_d3,v_d_d3,mean_arousal,mean_valence
572bc38f34b25a0010dbe9c4,bot,7,6,-1,4,4,0,4,4,0,6,3,-3,6,3,-3,4,6,2,-1.333333333,-0.3333333333
57ca4b09993b08000192297b,bot,4,4,0,3,4,1,5,3,-2,3,2,-1,7,5,-2,2,5,3,-1.333333333,1
58a474be34fcb30001053c74,bot,7,8,1,2,2,0,3,4,1,3,4,1,2,3,1,3,3,0,1,0.3333333333
58daebcf4240e50001190dfd,bot,6,7,1,7,8,1,6,7,1,7,7,0,8,8,0,7,7,0,0.6666666667,0.3333333333
59326b0654afe900017e9ea6,bot,3,2,-1,2,4,2,2,1,-1,4,3,-1,6,4,-2,2,4,2,-1.333333333,1
596f9bd71a0f2200019a9823,bot,7,6,-1,8,7,-1,6,4,-2,9,9,0,1,6,5,9,9,0,0.6666666667,-0.3333333333
598b848bdcdd640001e11108,bot,4,6,2,3,7,4,5,4,-1,6,3,-3,1,3,2,2,5,3,1,1.333333333
59be90270ac77f0001f059e6,bot,6,6,0,4,7,3,5,9,4,3,2,-1,7,8,1,1,2,1,1.666666667,1
59de6ff66100f9000194a144,bot,8,6,-2,3,5,2,6,6,0,4,3,-1,7,5,-2,2,3,1,-1.333333333,0.6666666667
59eb8c106100f9000194aa47,bot,6,6,0,3,1,-2,5,6,1,8,5,-3,5,6,1,9,7,-2,0.6666666667,-2.333333333
5a384471e7bc8000010a8df2,bot,7,6,-1,6,5,-1,8,8,0,3,3,0,6,6,0,3,3,0,-0.3333333333,-0.3333333333
5a4996b835c9d50001fdcdbf,bot,8,8,0,3,5,2,8,7,-1,3,2,-1,7,9,2,3,5,2,0.3333333333,1
5a4e8f4930adf7000106fd5e,bot,7,6,-1,3,7,4,5,8,3,7,2,-5,7,6,-1,3,6,3,0.3333333333,0.6666666667
5a692a8463394a000155da61,bot,3,3,0,8,8,0,5,5,0,5,5,0,8,8,0,3,4,1,0,0.3333333333
5a85d403ae9a0b0001a9ec8c,bot,6,6,0,5,7,2,6,6,0,7,6,-1,6,6,0,4,5,1,0,0.6666666667
5a8adbd3f1408d000176a8d5,bot,3,3,0,3,4,1,4,8,4,2,3,1,6,4,-2,4,4,0,0.6666666667,0.6666666667
5ae5db897edeb000014a85ee,bot,5,5,0,3,3,0,5,7,2,2,2,0,5,5,0,4,4,0,0.6666666667,0
5aeaf6667875a4000115ef73,bot,2,3,1,5,5,0,5,6,1,3,3,0,3,3,0,5,5,0,0.6666666667,0
5afd6d5b56fe2c0001690178,bot,7,2,-5,4,5,1,3,1,-2,9,9,0,7,5,-2,4,6,2,-3,1
5b0d2195641b1200010ef493,bot,7,7,0,7,7,0,6,3,-3,5,3,-2,4,5,1,2,3,1,-0.6666666667,-0.3333333333
5b40a6781581c70001e8d4a5,bot,2,2,0,2,5,3,5,5,0,5,5,0,5,5,0,7,5,-2,0,0.3333333333
5b4b9402fd4bd10001acd2dc,bot,6,8,2,5,1,-4,1,2,1,1,2,1,6,4,-2,2,1,-1,0.3333333333,-1.333333333
5b53095a303c33000165a756,bot,3,5,2,7,7,0,5,4,-1,4,4,0,5,6,1,6,6,0,0.6666666667,0
5b5fac0adb56360001f4f1dc,bot,3,8,5,2,3,1,3,7,4,4,3,-1,2,2,0,4,4,0,3,0
5b745eb8fd718d00013d251d,bot,5,6,1,9,3,-6,4,2,-2,4,3,-1,6,4,-2,5,7,2,-1,-1.666666667
5b918e98290d2400016828d3,bot,7,6,-1,5,7,2,7,7,0,8,5,-3,7,6,-1,3,3,0,-0.6666666667,-0.3333333333
5bc1c9dd9fffb200019bebe1,bot,7,8,1,2,4,2,6,3,-3,6,4,-2,6,6,0,4,6,2,-0.6666666667,0.6666666667
5bc7836006900800013a05db,bot,7,8,1,3,1,-2,7,6,-1,2,4,2,6,7,1,4,2,-2,0.3333333333,-0.6666666667
5bc7851135b90f0001432a3c,bot,7,7,0,7,7,0,8,8,0,2,2,0,6,6,0,2,1,-1,0,-0.3333333333
5bcd2885ac406f000177d6b0,bot,5,5,0,3,3,0,2,2,0,1,2,1,7,6,-1,2,2,0,-0.3333333333,0.3333333333
5bcdf13349f23e000109055a,bot,6,5,-1,5,5,0,8,9,1,2,2,0,8,7,-1,3,7,4,-0.3333333333,1.333333333
5bcf4bb932e46700016fd804,bot,3,1,-2,3,3,0,3,6,3,2,3,1,3,3,0,5,7,2,0.3333333333,1
554a4c37fdf99b744e2ae69f,human,7,6,-1,6,6,0,9,4,-5,2,8,6,6,6,0,3,5,2,-2,2.666666667
55ba8f47fdf99b404ce2490d,human,3,6,3,4,5,1,2,4,2,3,5,2,8,6,-2,5,5,0,1,1
56a7da16c89737000b22953c,human,5,3,-2,5,8,3,6,8,2,4,3,-1,3,3,0,3,6,3,0,1.666666667
56bc806e397246000c26060a,human,7,6,-1,3,5,2,5,5,0,4,5,1,8,6,-2,4,4,0,-1,1
583b2e395fcbdf00016f7969,human,7,8,1,3,8,5,3,7,4,2,7,5,6,7,1,4,8,4,2,4.666666667
58fe27c557344b0001ee202a,human,6,6,0,5,5,0,7,4,-3,3,8,5,8,7,-1,3,8,5,-1.333333333,3.333333333
593533d4ed2e9a0001d37c0b,human,1,1,0,2,5,3,3,3,0,4,6,2,1,1,0,2,3,1,0,2
5975b75a2356570001085d0c,human,8,7,-1,3,4,1,7,5,-2,4,6,2,7,6,-1,4,5,1,-1.333333333,1.333333333
598b108e504c5200011964a1,human,7,8,1,8,9,1,8,7,-1,3,1,-2,2,1,-1,2,1,-1,-0.3333333333,-0.6666666667
598b7cd7f472de0001731be6,human,4,7,3,3,2,-1,9,9,0,1,1,0,5,1,-4,9,1,-8,-0.3333333333,-3
599315f2cf1d1700016ef7e3,human,7,5,-2,3,3,0,4,4,0,3,4,1,7,6,-1,4,4,0,-1,0.3333333333
59960009bf8bcf0001ab6b57,human,4,5,1,5,5,0,6,6,0,4,4,0,6,6,0,5,5,0,0.3333333333,0
599f102b617ca80001fcd178,human,7,6,-1,2,2,0,4,3,-1,3,4,1,6,3,-3,2,3,1,-1.666666667,0.6666666667
59ad617a8cef7d00011f893c,human,8,6,-2,3,5,2,7,3,-4,4,5,1,7,8,1,4,3,-1,-1.666666667,0.6666666667
59d793bbcfaf74000161143e,human,3,4,1,4,4,0,4,5,1,3,5,2,3,5,2,3,6,3,1.333333333,1.666666667
5a94fef289de8200013ecc4d,human,7,3,-4,4,7,3,7,5,-2,3,8,5,7,2,-5,6,7,1,-3.666666667,3
5a9ae525873cda0001dcb19f,human,9,5,-4,5,9,4,5,5,0,1,3,2,5,6,1,3,7,4,-1,3.333333333
5aabe1b25e033000012be8f0,human,4,3,-1,1,1,0,3,4,1,3,3,0,2,3,1,2,3,1,0.3333333333,0.3333333333
5ac228c50527ba0001c1f6bb,human,2,4,2,2,4,2,7,6,-1,7,6,-1,4,4,0,5,6,1,0.3333333333,0.6666666667
5adf4b5b84d77d00014ae2ad,human,8,8,0,2,7,5,7,8,1,4,4,0,6,6,0,2,3,1,0.3333333333,2
5aea85ab831584000180a1f6,human,9,9,0,4,3,-1,7,7,0,4,1,-3,5,4,-1,4,2,-2,-0.3333333333,-2
5aee05398ba5a400017fe612,human,2,5,3,1,4,3,3,5,2,1,4,3,9,5,-4,1,1,0,0.3333333333,2
5b19a8072767e20001e4eaaf,human,8,5,-3,1,7,6,6,6,0,3,7,4,4,5,1,5,5,0,-0.6666666667,3.333333333
5b2fdd57a8327d0001ffe8da,human,1,1,0,4,9,5,3,4,1,5,4,-1,2,3,1,7,3,-4,0.6666666667,0
5b376f54cf5e6a00018309ef,human,6,7,1,4,4,0,7,6,-1,3,4,1,7,9,2,2,2,0,0.6666666667,0.3333333333
5b7c3611b22fe60001df1efd,human,6,6,0,3,6,3,3,6,3,3,2,-1,6,5,-1,2,5,3,0.6666666667,1.666666667
5b7f4108db11320001c4b0c1,human,6,5,-1,4,6,2,4,4,0,5,6,1,4,5,1,5,6,1,0,1.333333333
5b91dc5ebfc1cd0001bcd5b4,human,5,6,1,4,7,3,7,7,0,7,4,-3,2,4,2,3,4,1,1,0.3333333333
5b94720987ec6700017f9d94,human,5,5,0,4,1,-3,5,5,0,3,2,-1,9,5,-4,9,6,-3,-1.333333333,-2.333333333
5b94bd5e24fca300016a9425,human,2,3,1,2,6,4,6,4,-2,6,3,-3,7,5,-2,2,4,2,-1,1
5b9d41456b0f63000148d2b0,human,7,6,-1,4,3,-1,7,7,0,4,3,-1,5,6,1,4,4,0,0,-0.6666666667
5bc207f0dbfc8100018850a6,human,6,2,-4,2,8,6,5,2,-3,1,5,4,5,1,-4,9,3,-6,-3.666666667,1.333333333
5bc5bb836653db00015e7991,human,1,1,0,1,5,4,1,4,3,1,1,0,1,5,4,2,4,2,2.333333333,2
5bc623acd2bea100010c808e,human,7,7,0,7,7,0,8,9,1,7,6,-1,9,9,0,7,4,-3,0.3333333333,-1.333333333
55885582fdf99b4021921fbd,control,6,4,-2,3,5,2,8,9,1,2,2,0,6,4,-2,2,4,2,-1,1.333333333
55b95e2ffdf99b469f622883,control,7,7,0,7,6,-1,6,6,0,6,4,-2,3,4,1,7,5,-2,0.3333333333,-1.666666667
569d242a9e8363000c309dd7,control,6,4,-2,3,5,2,7,7,0,4,5,1,8,3,-5,5,6,1,-2.333333333,1.333333333
574b32af5bef98000faeb371,control,6,5,-1,6,8,2,1,3,2,3,7,4,6,4,-2,3,6,3,-0.3333333333,3
57e928630cb6700001dd8f8a,control,7,6,-1,8,7,-1,2,2,0,1,2,1,8,6,-2,7,3,-4,-1,-1.333333333
58620a55db3e720001e22778,control,6,4,-2,6,5,-1,6,4,-2,6,5,-1,3,3,0,6,7,1,-1.333333333,-0.3333333333
5887951f5b971900013a03c0,control,7,8,1,2,1,-1,6,5,-1,2,7,5,6,5,-1,1,1,0,-0.3333333333,1.333333333
589b9d050da7f10001de7382,control,7,7,0,3,1,-2,7,8,1,1,1,0,4,5,1,4,5,1,0.6666666667,-0.3333333333
58eeb1f3575c01000180b0a2,control,8,8,0,7,7,0,5,5,0,9,8,-1,8,8,0,8,8,0,0,-0.3333333333
5992b7cea2bbe00001882fbe,control,7,6,-1,7,5,-2,6,7,1,7,5,-2,7,7,0,7,8,1,0,-1
5996f18c6b939900012d9f58,control,2,3,1,2,4,2,2,6,4,3,5,2,5,6,1,5,6,1,2,1.666666667
59ea32b5e75b450001a695b4,control,3,5,2,3,5,2,2,2,0,3,4,1,2,2,0,3,2,-1,0.6666666667,0.6666666667
5aaa473ec4327200010d7c5c,control,7,7,0,7,4,-3,3,2,-1,3,5,2,4,3,-1,5,3,-2,-0.6666666667,-1
5aae420ec4e8f200014b3d4e,control,2,4,2,3,4,1,1,2,1,3,3,0,6,4,-2,1,1,0,0.3333333333,0.3333333333
5afd67f856fe2c00016900c7,control,8,7,-1,7,5,-2,7,8,1,3,2,-1,7,8,1,3,2,-1,0.3333333333,-1.333333333
5b09353e6cae6100014eca71,control,4,6,2,3,6,3,7,6,-1,3,3,0,6,6,0,3,5,2,0.3333333333,1.666666667
5b0c82406ff4ee0001db28d1,control,7,7,0,3,3,0,5,7,2,5,3,-2,8,7,-1,3,5,2,0.3333333333,0
5b22b702113f6900016a0b69,control,3,4,1,5,6,1,1,8,7,5,3,-2,1,9,8,3,1,-2,5.333333333,-1
5b3a3ef3c49ecb00010a7d12,control,3,4,1,3,7,4,8,7,-1,3,4,1,6,5,-1,1,3,2,-0.3333333333,2.333333333
5b70758cf3dd6600010aa9eb,control,5,5,0,2,3,1,6,6,0,5,5,0,8,8,0,6,5,-1,0,0
5b8011a80a67ca0001cc3f9b,control,6,6,0,3,4,1,5,5,0,5,5,0,5,5,0,5,5,0,0,0.3333333333
5b85246328914d0001135d23,control,8,8,0,3,3,0,2,2,0,4,3,-1,8,8,0,1,1,0,0,-0.3333333333
5b881d46a55bb900018b07ca,control,7,5,-2,3,3,0,8,7,-1,4,4,0,6,8,2,2,3,1,-0.3333333333,0.3333333333
5b91603d98530500014c2344,control,8,8,0,2,2,0,8,6,-2,2,7,5,8,6,-2,7,8,1,-1.333333333,2
5b9279430f342b0001e0502b,control,7,9,2,1,2,1,6,7,1,2,3,1,4,4,0,1,2,1,1,1
5b9cb73bb8d79e0001813ee8,control,5,5,0,3,4,1,5,5,0,4,6,2,7,5,-2,4,3,-1,-0.6666666667,0.6666666667
5b9ce9e980ebc0000117f24d,control,2,2,0,8,7,-1,3,1,-2,5,8,3,7,5,-2,2,5,3,-1.333333333,1.666666667
5ba0eedba9e7be000135df27,control,6,5,-1,2,4,2,8,6,-2,3,4,1,6,5,-1,2,5,3,-1.333333333,2
5bc19a2f1f8dd800015f8885,control,7,5,-2,4,7,3,5,5,0,5,7,2,2,3,1,4,5,1,-0.3333333333,2
5bc8ab30b569b300016b8051,control,1,3,2,1,2,1,1,1,0,1,1,0,8,7,-1,1,2,1,0.3333333333,0.6666666667